,station,mean_temp,mean_wind_speed
0,6,1.9,6.1
0,7,2.0,13.2
0,8,1.1,5.7
0,9,1.6,5.0
0,10,1.4,8.5
0,11,1.2,5.3
0,12,1.5,5.8
0,12,1.5,5.8
0,13,1.5,4.8
0,13,1.5,4.8
0,13,1.5,4.8
0,14,1.5,5.8
0,15,1.7,5.0
0,16,2.0,5.3
0,17,2.2,6.7
0,17,2.2,6.7
0,17,2.2,6.7
0,17,2.2,6.7
0,18,1.5,5.7
0,19,2.2,6.7
0,20,1.1,5.6
0,20,1.1,5.6
0,21,1.2,5.6
0,21,1.2,5.6
0,22,0.5,5.0
0,22,0.5,5.0
0,22,0.5,5.0
0,23,1.7,7.0
0,23,1.7,7.0
0,24,1.6,5.4
0,24,1.6,5.4
0,25,1.6,4.5
0,25,1.6,4.5
0,26,1.6,4.4
0,27,2.2,4.7
0,28,2.2,5.6
0,29,1.6,4.1
0,30,1.7,6.8
0,31,0.9,4.9
0,31,0.9,4.9
0,31,0.9,4.9
0,32,1.4,7.4
0,33,1.4,6.0
0,33,1.4,6.0
0,33,1.4,6.0
0,34,1.2,5.1
0,34,1.2,5.1
0,35,2.4,6.0
0,36,0.8,4.7
0,37,1.7,5.8
0,37,1.7,5.8
0,37,1.7,5.8
0,38,1.3,4.9
0,39,1.6,6.0
0,39,1.6,6.0
0,39,1.6,6.0
0,40,1.6,3.8
0,41,2.2,4.8
0,42,2.3,4.7
0,42,2.3,4.7
0,43,1.1,5.9
0,44,2.3,6.2
0,45,1.3,5.3
0,46,1.5,4.4
0,46,1.5,4.4
0,47,1.9,7.4
0,0,1.5,2.4
0,0,1.5,2.4
0,1,1.5,2.4
0,2,1.5,2.8
0,2,1.5,2.8
0,3,2.3,3.8
0,3,2.3,3.8
0,4,2.1,3.3
0,5,2.4,4.4
0,5,2.4,4.4
0,6,2.1,3.8
0,6,2.1,3.8
0,6,2.1,3.8
0,7,2.0,5.2
0,8,1.5,2.8
0,9,1.4,3.0
0,10,1.6,3.2
0,11,1.1,3.1
0,12,2.0,3.5
0,12,2.0,3.5
0,13,2.1,3.1
0,13,2.1,3.1
0,13,2.1,3.1
0,14,1.3,2.7
0,15,2.0,3.6
0,16,2.2,3.6
0,17,2.2,3.0
0,17,2.2,3.0
0,17,2.2,3.0
0,17,2.2,3.0
0,18,1.3,2.8
0,19,2.2,3.0
0,20,1.4,4.0
0,20,1.4,4.0
0,21,1.6,2.8
0,21,1.6,2.8
0,22,0.7,2.8
0,22,0.7,2.8
0,22,0.7,2.8
0,23,2.0,3.9
0,23,2.0,3.9
0,24,1.8,4.0
0,24,1.8,4.0
0,25,1.8,3.4
0,25,1.8,3.4
0,26,1.5,2.1
0,27,2.3,3.8
0,28,2.4,4.4
0,29,1.7,3.0
0,30,1.8,4.1
0,31,1.0,2.7
0,31,1.0,2.7
0,31,1.0,2.7
0,32,1.3,5.1
0,33,1.0,2.9
0,33,1.0,2.9
0,33,1.0,2.9
0,34,1.6,2.7
0,34,1.6,2.7
0,35,2.5,4.8
0,36,1.1,3.3
0,37,1.7,3.9
0,37,1.7,3.9
0,37,1.7,3.9
0,38,1.8,2.9
0,39,2.0,3.7
0,39,2.0,3.7
0,39,2.0,3.7
0,40,1.6,2.8
0,41,2.3,4.0
0,42,2.3,3.9
0,42,2.3,3.9
0,43,1.6,3.1
0,44,2.3,4.0
0,45,1.8,2.8
0,46,2.0,3.1
0,46,2.0,3.1
0,47,2.2,4.1
0,0,1.1,4.0
0,0,1.1,4.0
0,1,1.1,4.0
0,2,1.6,4.7
0,2,1.6,4.7
0,3,1.5,4.0
0,3,1.5,4.0
0,4,2.8,3.5
0,5,1.7,4.2
0,5,1.7,4.2
0,6,1.7,4.0
0,6,1.7,4.0
0,6,1.7,4.0
0,7,1.5,5.9
0,8,1.2,4.0
0,9,2.0,2.7
0,10,1.1,4.5
0,11,1.8,3.9
0,12,1.1,4.8
0,12,1.1,4.8
0,13,1.3,4.5
0,13,1.3,4.5
0,13,1.3,4.5
0,14,2.3,3.5
0,15,2.0,3.4
0,16,1.6,4.1
0,17,2.8,3.1
0,17,2.8,3.1
0,17,2.8,3.1
0,17,2.8,3.1
0,18,2.3,3.3
0,19,2.8,3.1
0,20,1.5,4.4
0,20,1.5,4.4
0,21,1.3,3.5
0,21,1.3,3.5
0,22,1.2,3.8
0,22,1.2,3.8
0,22,1.2,3.8
0,23,2.0,4.7
0,23,2.0,4.7
0,24,1.8,4.4
0,24,1.8,4.4
0,25,1.6,3.8
0,25,1.6,3.8
0,26,2.1,2.7
0,27,2.5,4.1
0,28,1.9,4.2
0,29,1.5,3.2
0,30,1.8,4.6
0,31,1.6,3.4
0,31,1.6,3.4
0,31,1.6,3.4
0,32,1.0,6.5
0,33,2.2,3.7
0,33,2.2,3.7
0,33,2.2,3.7
0,34,1.5,3.9
0,34,1.5,3.9
0,35,2.8,4.7
0,36,1.3,3.8
0,37,1.2,5.2
0,37,1.2,5.2
0,37,1.2,5.2
0,38,1.3,4.0
0,39,1.3,5.7
