Navn;Definition;Attainable;Importance;Cat/Num;Datatype;Min;Max;Mean;Std
dsb_litra_km_accumulated_abs;;;;Numerical;float;0;22526222;918217,3125;2594403,75
dsb_litra_km_accumulated_b;;;;Numerical;float;0;54093052;2019897,0;5888807,5
dsb_litra_km_accumulated_bk;;;;Numerical;float;0;21718530;885554,9375;2499847,75
dsb_litra_km_accumulated_ea;;;;Numerical;float;0;805503,125;9323,560546875;56532,5078125
dsb_litra_km_accumulated_eb;;;;Numerical;float;0;2494518;21665,697265625;152867,828125
dsb_litra_km_accumulated_er;;;;Numerical;float;0;71222976;5978550,0;12821078,0
dsb_litra_km_accumulated_ets;;;;Numerical;float;0;95590952;2424111,25;10626198,0
dsb_litra_km_accumulated_me;;;;Numerical;float;0;11473498;403135,53125;1221474,375
dsb_litra_km_accumulated_mf;;;;Numerical;float;0;191299456;18311182,0;31368790,0
dsb_litra_km_accumulated_mga;;;;Numerical;float;0;22195198;1199176,625;2568795,75
dsb_litra_km_accumulated_mq;;;;Numerical;float;0;6781353,5;71086,171875;429631,03125
dsb_litra_km_accumulated_mr;;;;Numerical;float;0;1334322;2907,680908203125;30630,54296875
dsb_kompetencer_hvk_er;;;;Numerical;int;1;161;63,41806804849433;40,25347367241594
dsb_kompetencer_hvk_et;;;;Numerical;int;1;135;50,19358623386781;35,21486132442915
dsb_kompetencer_hvk_ic2;;;;Numerical;int;0;11;4,831052014078999;2,955882522777675
dsb_kompetencer_hvk_ic4;;;;Numerical;int;2;51;24,7266327727806;12,915205161564465
dsb_kompetencer_hvk_me;;;;Numerical;int;0;41;14,003910833007431;9,620266612347518
dsb_kompetencer_hvk_mf;;;;Numerical;int;1;146;54,342197888150174;41,46430828509626
dsb_kompetencer_hvk_mg;;;;Numerical;int;19;288;147,27493156042237;75,84374431104014
dsb_kompetencer_hvk_mq;;;;Numerical;int;0;55;22,242080563159952;13,776919615168966
dsb_kompetencer_hvk_mr;;;;Numerical;int;0;21;7,298396558466954;5,436291608302218
dsb_relative_kompetencer_hvk_er;;;;Numerical;float;0,0012642225031605564;0,17177242888402625;0,06801421620493894;0,041239519146803245
dsb_relative_kompetencer_hvk_et;;;;Numerical;float;0,001256281407035176;0,1384297520661157;0,053581945414033674;0,03588501332893959
dsb_relative_kompetencer_hvk_ic2;;;;Numerical;float;0;0,013630731102850062;0,005308869346646756;0,003283595497177382
dsb_relative_kompetencer_hvk_ic4;;;;Numerical;float;0,002034587995930824;0,05710955710955711;0,02694255008839059;0,013927449670751666
dsb_relative_kompetencer_hvk_me;;;;Numerical;float;0;0,0407149950347567;0,015086266554160213;0,009956829134224866
dsb_relative_kompetencer_hvk_mf;;;;Numerical;float;0,001201923076923077;0,1515486725663717;0,058091757602595294;0,04284573869372207
dsb_relative_kompetencer_hvk_mg;;;;Numerical;float;0,021363173957273652;0,28713858424725824;0,16061795707379037;0,0811101309151662
dsb_relative_kompetencer_hvk_mq;;;;Numerical;float;0;0,05580357142857143;0,02415529028264331;0,014657647234891588
dsb_relative_kompetencer_hvk_mr;;;;Numerical;float;0;0,0234375;0,007921080873088971;0,0058153139103418435
dsb_lkf_litra_qualifications_abs;;;;Numerical;int;110;208;154,24051622995697;29,42079495007301
dsb_lkf_litra_qualifications_ea;;;;Numerical;int;53;155;105,2905748924521;28,456867475867053
dsb_lkf_litra_qualifications_eb;;;;Numerical;int;0;283;84,05123191239734;123,0314596607121
dsb_lkf_litra_qualifications_er;;;;Numerical;int;775;998;898,7364098552991;67,47578169454202
dsb_lkf_litra_qualifications_et;;;;Numerical;int;301;397;352,6065701994525;30,03451133603838
dsb_lkf_litra_qualifications_ic2;;;;Numerical;int;42;258;152,94603050449746;76,96942214613894
dsb_lkf_litra_qualifications_me;;;;Numerical;int;353;492;439,3183418068048;43,607365957771826
dsb_lkf_litra_qualifications_mf;;;;Numerical;int;912;1240;1100,275322643723;107,86997588706761
dsb_lkf_litra_qualifications_mg;;;;Numerical;int;701;923;824,2612436448964;74,78667143333394
dsb_lkf_litra_qualifications_mq;;;;Numerical;int;169;407;310,1967149002738;87,37494875289526
dsb_lkf_litra_qualifications_mr;;;;Numerical;int;91;533;317,71646460696127;159,56324071501516
dsb_lkf_litra_relative_qualifications_abs;;;;Numerical;float;0,12595419847328243;0,17515760487494;0,14435484513197205;0,01309518850132509
dsb_lkf_litra_relative_qualifications_ea;;;;Numerical;float;0,06608478802992519;0,1297852031104378;0,09741161518075112;0,016566043045954427
dsb_lkf_litra_relative_qualifications_eb;;;;Numerical;float;0;0,3483709273182957;0,09574905116082433;0,14220484336688816
dsb_lkf_litra_relative_qualifications_er;;;;Numerical;float;0,7990014101079282;0,9714285714285714;0,8522556404366521;0,05122470143180057
dsb_lkf_litra_relative_qualifications_et;;;;Numerical;float;0,253545332643852;0,40726817042606517;0,3374202573355735;0,05009388481571009
dsb_lkf_litra_relative_qualifications_ic2;;;;Numerical;float;0,04908675799086758;0,21642069448490184;0,13699091845667122;0,059154497518043817
dsb_lkf_litra_relative_qualifications_me;;;;Numerical;float;0,39217557251908397;0,44632086851628466;0,41517993606390674;0,014297446879497015
